clean_id,hash_dedup,render_ids,count,status,nome
181,aa556d6d2eb3866b6163ff5e0865e5ee,,0,not_found,2022 domaine chanson rully 22
182,1c634f18180db4739830ac89ced3b8dd,,0,not_found,2022 domaine chanson meursault 22
183,9769432563946ce76a558b044af01cc7,,0,not_found,2022 domaine chanson chassagnemontrachet 22
185,226e73839976f003f7bd114dd13d0420,,0,not_found,2022 domaine chanson chablis 22
214,566f5645786f45401be325f6da8f925c,,0,not_found,2018 sommos alquez 2018
217,bd810f32dd2ee3b03dd336b3545837cb,,0,not_found,armand de brignac blanc de blancs
218,248617dc1f7ad925c34526e8fdd86480,,0,not_found,armand de brignac blanc de noirs
219,a14aed2fa684bd28376f4090d153b099,,0,not_found,2015 armand de brignac blanc de noirs vintage 2015
228,d650072b0528147f07c14a965243a240,,0,not_found,terrazas de los andes reserva malbec 2021
229,b257a5914066ca3e35f01f6facedd3f3,,0,not_found,terrazas de los andes reserva cabernet sauvignon 2021
230,af803713be978de882b9b843af3cc924,,0,not_found,chandon brut nv
231,1a88d2c8c2352542849538dce538f3bc,,0,not_found,chandon brut rose nv
233,34fc9b04b519b6c160b1dcdb82365be1,,0,not_found,newton unfiltered chardonnay 2018
234,f3e4c499c5d5514cc39c7225c4634418,,0,not_found,mira hyde vineyard pinot noir
235,a100f965eb5196831ea4030b27590cdb,,0,not_found,chateau desclans rock angel 2021
236,11cbbedafff689ac8d5fcf218b8c5298,,0,not_found,chateau desclans whispering angel 2022
237,9edc96cebe8163063ec25f143b05543f,,0,not_found,cloudy bay pelorus rose nv
238,2e23ea42605bafb6a7bafef83842b516,,0,not_found,cloudy bay pelorus nv
241,f35c986567e2b24e440a4bd93c8c0fe1,,0,not_found,bodega sommos coleccion chardonnay
243,bb32f7cfe363843ea71d6e0ae3595653,,0,not_found,newton single vineyard cabernet sauvignon 2015
244,6304e2a779cca04a28f0742244ac7d02,,0,not_found,newton unfiltered cabernet sauvignon 2018
246,05034be0694fbbff8ea173c9d268a1bb,,0,not_found,newton skyside chardonnay 2019
247,24cd0c2db9289a3eb065ca8f56d7cdde,,0,not_found,joseph phelps vineyards insignia 2019
248,65517953b6a5b62f4f372df39be4e14d,,0,not_found,joseph phelps cabernet sauvignon 2021
251,f4ea1422edf4228d6ae77e98af390aea,,0,not_found,bodega numanthia 2018
254,6e7ceca3755cae40f3c5d8c228582da0,,0,not_found,2021 cloudy bay pinot noir 2021
255,8db0e51939cfbd7829987cb81680f169,,0,not_found,cloudy bay charodonnay 2022
256,3f490d331d83daec8fd02dd109a622c7,,0,not_found,cloudy bay sauvignon blanc 2023
260,bd5970c9efb96f04f3cba4228b1db21e,,0,not_found,nicolas paget jajavanaise 2020
263,3a13b6ebefc0bcde45267b05d8e09c22,,0,not_found,marchesi di barolo langhe nebbiolo doc sbirolo
265,6d6ba5fa1c5eb1220af1507765517aa5,,0,not_found,velenosi ninfa marche igt rosso
267,38ef6630b300b73c299943552b4ff71f,,0,not_found,weingut wittmann 100 hugel riesling trocken
268,d14ab42d72a8c57b640aa48865a28248,,0,not_found,the flying winemaker cabernet sauvignon
270,866327c0df4c98d996ec6cd829e89d98,,0,not_found,champagne lombardi cuvee brut blanc de blancs nv
271,7c4f2ab7925b7875b5d3f95d6d5e4e31,,0,not_found,champagne lombardi cuvee brut blanc de noirs nv
272,c2942178b592e79c028f6936d590dc7d,,0,not_found,champagne lombardi cuvee brut antheserose nv
297,f702066c3cdc61e2cea7e49a93ee6b5c,,0,not_found,2022 loggia dei colli sauvignon igt trevenezie 2022
320,b7318814f1af06c5bb1bfda2984966e7,,0,not_found,in ventis syrah
322,25c7189caeb90982dbbc9d1078d61b1d,,0,not_found,in ventis viognier
335,02452b28388ea35442fb5c45320cac40,,0,not_found,delille cellars d2
336,1b4a808fd9e42a7c0eb2ed327c059c68,,0,not_found,delille cellars chaleur estate
337,75b81715b7134105e16b73476d1c978f,,0,not_found,delille cellars chaleur blanc
350,67a3fad9e35e0d852f216b843cc031da,,0,not_found,tenuta ulisse passito rosso
354,cb1284d2a05ad2852000cec0c6e28a30,,0,not_found,domaine jean collet chablis 1er cru montee de tonnerre
355,2870088bdf0953c6d08b1ad3551d9229,,0,not_found,domaine jean collet chablis 1er cru mont de milieu
366,4868851d629b332c453c28364a7b9332,,0,not_found,domaine jean collet chablis 1er cru butteaux
374,a27944fe62852d9e8107efe69e6d6a53,,0,not_found,domaine du bicheron maconperonne vieilles vignes
378,349dc175a3369f07b3ff19de9f3d6950,,0,not_found,brunel de la gardine hermitage rouge
379,69e59110b27a330860e0d5766f61dea8,,0,not_found,brunel de la gardine gigondas rouge
381,976575c9924a66c9a56bf0e487d29b00,,0,not_found,bests great western chardonnay
383,a69674590c375dd13078c3ee5f6c8d82,,0,not_found,brunel de la gardine condrieu blanc
387,5fee51ed4c3f2cae21365d15d653f855,,0,not_found,italo cescon merlot veneto igt
403,d43b59d6d78f29aaac225130d53119d3,,0,not_found,aubert uvsl chardonnay
404,2634ddc4298181838d2c7cedd898f522,,0,not_found,aubert eastside chardonnay
405,061dd9a9f3defacbb72acedbc31dc017,,0,not_found,philippe charlopinparizot bourgogne cote dor 2023
408,76617b88c2744e4fb0d53dabc97b99bd,,0,not_found,bodegas bilbainas vina pomal gran reserva 2015
419,49efe33a15eec593a911e83f0dd857ff,,0,not_found,domaine des hospices de beaujeu morgon cuvee judith jonchier 2023
448,cae1d8c3e293ba8eb310e0e7980d75cb,,0,not_found,dom perignon 2015 2015
456,592ac9348f5f0f16a344fdf57c2f39d6,,0,not_found,la dame de montrose
510,89bcc0be7895fbf541e2ebd081d6892c,,0,not_found,daniel sage la voix du periscope viognier 2022
548,303f1f52835000524d2dfb2a2e543d37,,0,not_found,sena 25th anniversary25
550,cbc76b943bdd456737d9ee64a0c07095,,0,not_found,38 el hombre bala 2012
562,f1e0d92b41e8e1f3a5bca4cdea0b6296,,0,not_found,bodetherold les greffiers vieilles vignes brut nature 2021
576,0f5cd06ff75de3c671896b7930e81eb5,,0,not_found,villa wolf pinot gris dry
606,1b20b25cd7658180711a5fd77d990182,,0,not_found,villa wolf riesling
608,26b460448cc857f453ffe82b9b15a9bc,,0,not_found,tardieu laurent bondol 2020
620,2c782cf9bf2c747ca526a5b1d689e867,,0,not_found,vietti barolo castiglione 2018
624,b621c047db07666b04368d9a3a489653,,0,not_found,vietti roero arneis 2024
637,e6b79a3c4a381e7f748d1ab16b1e20ce,,0,not_found,purple reignmoscato1200
693,1e357369f0588b91a702937d6116d024,,0,not_found,badiola las parcelas rioja 2018
702,6e2cf2a3294daefd3620fca430b0a100,,0,not_found,bests great western thomson family shiraz
705,9db793a776d24c535b06dcf41fad0c4e,,0,not_found,quailhurst vineyard estate red q pinot noir 2015q2015
716,31caa82d46ab32666cb57269346b6459,,0,not_found,misty cove marloborough sauvignon blanc 2021
723,0144900fc5ff1b0be498de6f83600b30,,0,not_found,ridge vineyards three valleys 2023
758,50d1a09c147eb618a92cb70ff24c1bba,,0,not_found,jauma mimsy chenin blanc spritz 2023
768,5996710ebdf52d0fef3b12d4e2f85442,,0,not_found,jauma lulu old vine chenin blanc 2023
770,c9adcfd4eb39d02a613a6f1465625b5e,,0,not_found,small gully panakeia marananga shiraz 2015
771,df3e423690ec9db8366be9b7ff7a1478,,0,not_found,astoria amarone della valpolicella 2020
777,ebd788c14cff8adda25de66a2a193705,,0,not_found,kindeli blanco 2023
779,ed3bf07543f59e091f6dd807abae0486,,0,not_found,loctavin ivre de vivre 2022
780,8df3f68530601eef31f8652e39965aff,,0,not_found,loctavin betty bulles 2024
800,90da027a84855682dd78f9b43394bcd5,,0,not_found,shelter lovely lilly pinot noir 2023
840,83726623328b968761d95610b1683961,,0,not_found,cava 14oz wh wine
846,a82aa42c09d3f29123afda93b01a16af,,0,not_found,pierre usseglio chateauneufdupape premiere pierre 2021
853,139062999a93ebfa8fd35921ddb6f299,,0,not_found,collefrisio semis bianco igt
864,7d83be8e50408f3d8ce3a7737d435102,,0,not_found,kientzler riesling osterberg alsace grand cru 2020
866,469eecd8eb0546c4659ce6acd02fcf6e,,0,not_found,kientzler cremant dalsace brut nv
886,f7b6ecfe841f9f81bf2742c90b3e6685,,0,not_found,gianni doglia moscato dasti docg 2019
889,9ec526a07796215355287de0055361b5,,0,not_found,pujanza cisma
891,e0427461c1da2d769c4dd0364bcedc07,,0,not_found,pujanza norte
896,ebc1fecb525a9bf9c01fb6ffac871a01,,0,not_found,pujanza hado
900,922f584253d6cd0936b94a33eef9ce89,,0,not_found,cinzano
922,3a4c95e38bf3a0de23ec324e224ed5f4,,0,not_found,van volxem riesling
946,5ec3afca8b400cb8c44751556bbda32c,,0,not_found,champagne doyard
983,8f9614d6577218a6948fb42370a779ad,,0,not_found,envinate albahra 2016
986,1eb57d0cc4f40ea80053ae7700b82c1d,,0,not_found,cava brut rosat reserva suriol
1031,176769b424a359c6d8387d5fa5b93e3c,,0,not_found,hubert lamy bourgogne les chataigners
1036,28f43e0b7761514a93f4f41a38817e81,,0,not_found,champagne jl vergnon murmure 1er cru brut nature nv
1044,f7876179d4a0416b0b7da3d7e7bab500,,0,not_found,small gully mr blacks concoction shiraz viognier 2015
1048,795971e439ac2c4441cd37b0f10968a1,,0,not_found,joliet fixin 1er cru clos de la perriere rouge 2022
1072,f2c0f0c4062769e4832579adffde980c,,0,not_found,fritz haag brauneberger juffer grosses gewachs riesling trocken 2021
1074,8fa5e3b3d687def20bb943b757a14c62,,0,not_found,burge family great winner cabernet shiraz
1075,61dbaee8c3f89b8236d7c91b3f466f0f,,0,not_found,fritz haag brauneberger juffer kabinett 2023
1078,ddf3d745358764a5a4566889d7b9c76a,,0,not_found,pujanza sj anteportalatina
1079,8347a9046d42422e51e18c6dbcabfbd0,,0,not_found,san gregorio las martas
1082,79445aa2dbb885e7abc4416c462931b4,,0,not_found,bernabeleva navaherreros tinto
1083,413ea508bec5b83150bb8cda0f2edf4d,,0,not_found,bernabeleva carril del rey
1084,a527ad2ebb9c95db6ee44791ac83ca3e,,0,not_found,bernabeleva cantocuerdas moscatel sweet
1085,c5df65ba12f285904bd6559705dcd880,,0,not_found,gilbert et christine felettig chambolle musigny vieilles vignes
1088,af99696280b92abda52dd616449dccba,,0,not_found,gerard mugneret bourgogne les rouges champs
1089,ca27530a8602c1d706d22036b4a94b61,,0,not_found,gerard mugneret vosne romanee cuvee quatrain
1090,ff35a44a31b6befa36bbe8485d7d2dd8,,0,not_found,domaine anne gros bourgogne hautes cotes de nuits cuvee marine
1103,d6a195bf2e311be3fcbd99151b18b001,,0,not_found,paisajes y vinedos paisajes valsalado rioja 2014
1104,a8f9637df8731525f99e411a263a2d62,,0,not_found,cascina tavijn bianca bianco 2023
1119,be9067879271103028a0d93dcc7208db,,0,not_found,leymariececi bourgogne pinot noir andrew 2023
1122,581f14638a7d20e371700cbe80c57f6a,,0,not_found,jean fournier bourgogne cote dor 2023
1125,cda1f435648d4fe77161a967ec6cbe18,,0,not_found,saint cyr melo rouge
1148,136ef78a8826d51e991ae29d191aa056,1857928,1,1:1,bests great western pinot noir
1149,3fcdca9b24743bf318abd64c8fe81bcc,,0,not_found,5 lolea no5 rose
1151,08ba0fe5728b896582710f872b0eb7f7,,0,not_found,3 lolea no3 brut
1153,8c395efa5cbcf447a7aaefca4573bb14,,0,not_found,brovia barolo docg garblet sue
1156,001eefb3b29f10944e0edb5565a4ab55,,0,not_found,costadila moz vino bianco frizzante moz
1190,7bcc2725da936deb9fe7640d2d3ea4ff,,0,not_found,lecheneaut nuitssaintgeorges 2022
1194,581078098f96983105f5e17313b9463a,,0,not_found,bonneuil 2005
1201,66165044dfcf6c8da77cb47075016161,,0,not_found,moscato dasti bartenura moscato dasti docg
1212,6a0f920f71a099472263c7ad2139bf4b,,0,not_found,domaine dominique laurent coteaux bourguignons
