y2_id,clean_id,canonical_wine_id,match_score,prod_banco,vivino_produtor,vinho_banco,vivino_nome
305795,206742,78956,1.3,chateau daugay,chateau daugay,saintemilion grand cru,saintemilion grand cru
306007,207205,137024,1.3,domaine de montille,domaine de montille,clos vougeot grand cru,clos vougeot grand cru
321939,224244,492133,1.3,miraval,miraval,cotes de provence rose,cotes de provence rose
355212,260254,75944,1.3,franck balthazar,franck balthazar,cornas chaillot,cornas chaillot
354177,258388,274511,1.3,hubert de bouard,hubert de bouard,saintemilion grand cru silver bell,silver bell saintemilion grand cru
290710,190202,90737,1.3,clos siguier,clos siguier,cahors,cahors
185679,109618,181417,1.3,eric texier,eric texier,chat fou,chat fou
308443,209494,89296,1.3,chateau de panigon,chateau de panigon,medoc,medoc
338031,241746,12253,1.3,veuve clicquot,veuve clicquot,champagne brut rose,brut rose champagne
322285,223717,151171,1.3,domaine des sanzay,domaine des sanzay,saumurchampigny vieilles vignes,vieilles vignes saumurchampigny
322319,224477,1614763,1.3,arnaud baillot,arnaud baillot,corton grand cru le rognet,corton grand cru le rognet
338092,240353,18313,1.3,domaine chanson,domaine chanson,volnay,volnay
338173,241688,12253,1.3,veuve clicquot,veuve clicquot,champagne brut rose,brut rose champagne
309806,210506,1070769,1.3,maison castel,maison castel,merlot rose,merlot rose
338174,241689,18431,1.3,veuve clicquot,veuve clicquot,champagne brut rose vintage,vintage rose brut champagne
338188,242132,14154,1.3,chateau potensac,chateau potensac,medoc,medoc
185675,109614,117954,1.3,xavier gerard,xavier gerard,coterotie,coterotie
322883,225442,618710,1.3,david moreau,david moreau,bourgogne pinot noir,pinot noir bourgogne
309265,210478,90505,1.3,minuty,minuty,prestige rose,prestige rose
322934,225558,4053,1.3,louis latour,louis latour,bourgogne pinot noir,bourgogne pinot noir
292755,192655,848104,1.3,les tetes,les tetes,triangle bordeaux superieur,triangle bordeaux superieur
323914,226377,1311315,1.3,bourgeoisdiaz,bourgeoisdiaz,champagne brut nature rose bdrs rose de saignee,bdrs rose de saignee brut nature champagne
309273,210424,675934,1.3,veuve du vernay,veuve du vernay,ice rose,ice rose
291016,190339,1344933,1.3,domaine de la combe au mas,domaine de la combe au mas,rico rose,rico rose
324205,226870,831397,1.3,jeff carrel,jeff carrel,en coteaux pinot noir,pinot noir en coteaux
292788,192689,92602,1.3,chateau cambon,chateau cambon,beaujolais,beaujolais
348241,252469,1393564,1.3,chateau gloria,chateau gloria,esprit de gloria,esprit de gloria
185282,108943,30745,1.3,thierry allemand,thierry allemand,cornas reynard,cornas reynard
356334,261360,391980,1.3,jeanne gaillard,jeanne gaillard,syrah terres de mandrin,terres de mandrin syrah
324242,226781,22195,1.3,domaine de beaurenard,domaine de beaurenard,cotes du rhone,cotes du rhone
291018,190341,1354193,1.3,chateau les croisille,chateau les croisille,cocori cot,cocori cot
309414,210446,348474,1.3,dom perignon,dom perignon,champagne brut rose,brut rose champagne
348140,252608,658728,1.3,la belle angele,la belle angele,cabernet sauvignon,cabernet sauvignon
338238,242190,28811,1.3,chateau la conseillante,chateau la conseillante,pomerol,pomerol
324357,225420,48786,1.3,chateau montlabert,chateau montlabert,saintemilion grand cru,saintemilion grand cru
356565,261556,86260,1.3,domaine arlaud,domaine arlaud,moreysaintdenis,moreysaintdenis
356563,261554,22367,1.3,domaine armand rousseau,domaine armand rousseau,charmeschambertin grand cru,charmeschambertin grand cru
324645,225537,4018,1.3,louis latour,louis latour,gevreychambertin,gevreychambertin
309424,210457,1286368,1.3,pierlant,pierlant,demisec rose,demisec rose
292822,192519,95464,1.3,domaine lionnet,domaine lionnet,cornas terre brulee,terre brulee cornas
324837,227431,4034,1.3,louis latour,louis latour,marsannay rouge,marsannay rouge
324904,227533,1098517,1.3,chateau la coste,chateau la coste,le rouge,le rouge
309633,210343,18180,1.3,georges duboeuf,georges duboeuf,beaujolais,beaujolais
309635,210345,886285,1.3,m chapoutier,m chapoutier,quatuor coterotie,quatuor coterotie
