source_wine_id,canonical_wine_id,alias_source_type,status,current_vivino_id,current_suppressed_at,current_suppress_reason
1741557,5389,d17_20260419_221902,eligible,,,
1741559,30188,d17_20260419_221902,eligible,,,
1741560,25636,d17_20260419_221902,eligible,,,
1741564,129298,d17_20260419_221902,eligible,,,
1741608,49524,d17_20260419_221902,eligible,,,
1741609,54472,d17_20260419_221902,eligible,,,
1741614,85927,d17_20260419_221902,eligible,,,
1741616,210768,d17_20260419_221902,eligible,,,
1741622,77521,d17_20260419_221902,eligible,,,
1741623,86598,d17_20260419_221902,eligible,,,
1741630,430110,d17_20260419_221902,eligible,,,
1741631,60845,d17_20260419_221902,eligible,,,
1741637,687427,d17_20260419_221902,eligible,,,
1741639,167671,d17_20260419_221902,eligible,,,
1741640,298313,d17_20260419_221902,eligible,,,
1741641,416187,d17_20260419_221902,eligible,,,
1741661,19205,d17_20260419_221902,eligible,,,
1741666,103052,d17_20260419_221902,eligible,,,
1741669,275550,d17_20260419_221902,eligible,,,
1741684,63188,d17_20260419_221902,eligible,,,
1741685,48234,d17_20260419_221902,eligible,,,
1741686,271004,d17_20260419_221902,eligible,,,
1741697,1680105,d17_20260419_221902,eligible,,,
1741702,21562,d17_20260419_221902,eligible,,,
1741703,122256,d17_20260419_221902,eligible,,,
1741713,12722,d17_20260419_221902,eligible,,,
1741715,905884,d17_20260419_221902,eligible,,,
1741716,1037368,d17_20260419_221902,eligible,,,
1741719,28162,d17_20260419_221902,eligible,,,
1741725,30339,d17_20260419_221902,eligible,,,
1741728,357431,d17_20260419_221902,eligible,,,
1741731,27314,d17_20260419_221902,eligible,,,
1741746,75742,d17_20260419_221902,eligible,,,
1741747,20755,d17_20260419_221902,eligible,,,
1741753,37697,d17_20260419_221902,eligible,,,
1741754,37698,d17_20260419_221902,eligible,,,
1741760,19545,d17_20260419_221902,eligible,,,
1741761,51104,d17_20260419_221902,eligible,,,
1741765,427094,d17_20260419_221902,eligible,,,
1741766,110902,d17_20260419_221902,eligible,,,
1741767,27314,d17_20260419_221902,eligible,,,
1741768,86598,d17_20260419_221902,eligible,,,
1741769,77521,d17_20260419_221902,eligible,,,
1741772,217861,d17_20260419_221902,eligible,,,
1741776,1073840,d17_20260419_221902,eligible,,,
