pair_id,source_wine_id,canonical_wine_id,verdict,source_vivino_ids,canonical_vivino_ids,shared_vivino_ids,source_top_producer,canonical_top_producer,reason
2227,2106271,24184,CONFIRMA,91794|2524564|5106940|1150840|13216498,91794|2524564|5106940|2003891|1126532|1153710|2291225|1845229|2192889|2411341,91794|2524564|5106940,Château Revelette,Château Revelette,Mesmo wine id Vivino 91794 nas duas buscas
2228,2106482,588525,CONFIRMA,3379116|1571743|3599644|7618611|1984633|1514693|1399251|1200639|3138051,3379116|1571743|1984633|1514693|1399251|1628851|1163515|1231648|1470042|3738005,3379116|1571743|1984633|1514693|1399251,Château la Roche,Château La Roche Beaulieu,Mesmo wine id Vivino 3379116 nas duas buscas
2229,2107098,81008,CONFIRMA,2445769|1258655|7069381|1163923|1099307|4824593|1204880,1204880|1099307|1099316|1150203|1267565|2266718|1608649|1444016|1211606|1524049,1099307|1204880,Château Lafleur,Château Lafleur,Mesmo wine id Vivino 1099307 nas duas buscas
2230,2107264,58117,CONFIRMA,1163413|98166|98172|98169|9941082|12034221|2846859|7428211|7233340|4970374,1163413,1163413,Château Phélan Ségur,Château Phélan Ségur,Mesmo wine id Vivino 1163413 nas duas buscas
2231,2107353,1024418,CONFIRMA,2213612|5889631|4914985|12520878|9581385|11191088|6769555|6007334|5698971|5901647,7066632|1807966|2213612|75556|5889631|5756473|6706250|7122359|2286081|13111188,2213612|5889631,Château Philippe-Le-Hardi,Philippe Milan & Fils,Mesmo wine id Vivino 2213612 nas duas buscas
2232,2107485,121441,CONFIRMA,1310206,1310206,1310206,Château le Puy,Château le Puy,Mesmo wine id Vivino 1310206 nas duas buscas
2233,2109775,1046763,CONFIRMA,7175987|7168514|1230458|8591142|12314652,7175987|7168514,7175987|7168514,Dos Lusíadas,Dos Lusíadas,Mesmo wine id Vivino 7175987 nas duas buscas
2234,2109832,255529,CONFIRMA,1799937|1719528|1651985|6709898|1765935|2685640|1106018|1495801,1799937,1799937,Dry River,Dry River,Mesmo wine id Vivino 1799937 nas duas buscas
2235,2110123,1195189,CONFIRMA,8152720,8152720|7071877|2043342|7102222|5248344|1167366|9719842|1370945|2723412|6647201,8152720,Dos Molinos,Dos Molinos,Mesmo wine id Vivino 8152720 nas duas buscas
2236,2110393,169544,CONFIRMA,1516233|2802248|2087392|6220209|1112331,1516233,1516233,Du Plevaux,Du Plevaux,Mesmo wine id Vivino 1516233 nas duas buscas
2237,2110789,109578,CONFIRMA,1265095|8040,1265095|2279739,1265095,Cantine due Palme,Cantine due Palme,Mesmo wine id Vivino 1265095 nas duas buscas
2238,2111534,365132,CONFIRMA,2174595|12258077|1269319|13568982|1968956|7888767|2950792|4564539|9645794|9274925,2174595|2525328|1229993,2174595,Francois Martenot,Domaine Nicole Lamarche (François Lamarche),Mesmo wine id Vivino 2174595 nas duas buscas
2239,2111686,506432,CONFIRMA,1373274|1307744|100287|5298371|1229993|1368239|2689374|7284016|9767133|11108219,2689374|12903938|5985766|2362737|2718634|93805|4047586|1882689|1182496|1708045,2689374,Domaine François Lumpp,Domaine François Lumpp,Mesmo wine id Vivino 2689374 nas duas buscas
2240,2111797,233775,CONFIRMA,1731155|1529183|2078055|1182678|1198994|1196505|1516017|5447475|1648111|1214547,1731155|1497487|12370612|1215304|1529183|2078055,1731155|1529183|2078055,Raveneau,Raveneau,Mesmo wine id Vivino 1731155 nas duas buscas
2241,2111917,3459,CONFIRMA,6339|8854015|6336|5785512|8854011|4705993|1197781|1662711|5445783|1252375,6339|8854015|6336|5785512|8854011|4705993|1197781|1662711|5445783|1296524,6339|8854015|6336|5785512|8854011|4705993|1197781|1662711|5445783,Francis Ford Coppola Winery,Francis Ford Coppola Winery,Mesmo wine id Vivino 6339 nas duas buscas
2242,2112007,1333760,CONFIRMA,9439643,9439643|1481127|2334682|1196170|6226053|2635121|56164|77869|5109319|1265981,9439643,Francois Van Niekerk,Francois Van Niekerk,Mesmo wine id Vivino 9439643 nas duas buscas
2243,2112399,735659,CONFIRMA,5007065|6276|6275|6274|6277|6273|6889138|1241405|1545661|5408643,5007065|6276|6275|6274|6273|6277|1241405|6889138|1545661,5007065|6276|6275|6274|6277|6273|6889138|1241405|1545661,Francis Ford Coppola Winery,Francis Ford Coppola Winery,Mesmo wine id Vivino 5007065 nas duas buscas
2244,2112511,114629,CONFIRMA,1283092|6339|1252375|1176772|1123317|6261|6262|7405181|6307|1268089,1283092|4796638|8562369|8193734|12662431,1283092,Francis Ford Coppola Winery,Yorkshire Heart,Mesmo wine id Vivino 1283092 nas duas buscas
2245,2112654,94062,CONFIRMA,1229814|9355316|8851211|5975923|1323935|1425981|11893594,1229814|9355316|8851211,1229814|9355316|8851211,Franck Massard,Franck Massard,Mesmo wine id Vivino 1229814 nas duas buscas
